Issue Id,Issue Type,Summary,Epic Name,Parent Id,Description,Labels,Owner,Status,Due Date
E1,Epic,Astrion Core Buildout & Cost Model (GATING),Astrion Core Buildout & Cost Model (GATING),,"Owner: Shane + Sully

The CEO's direct 10-day assignment to Shane and Sully: lock down WHAT Astrion Core must be built as across the discussed layers and WHAT it will cost. Core = one common platform (service layer + integration layer + data fabric) providing data/decision orchestration, secure mission-autonomy orchestration, and secure targeted-effects orchestration, with mission applications ('engines'/suites) running on top per AMSGRA/AGRA. Deliverable for the July 7-8 reconvene must include >=2 COAs, a baseline-architecture decision, a dev-seat/licensing cost model with stair-step tiers, and staffing for both Core infra and the separate mission-app dev teams. This is the gating deliverable - the reconvene is won or lost here.",mtg629 core cost-model gating owner-shane-sully,Shane + Sully,,
E2,Epic,"Strategy, Pursuits & Shaping Lockdown","Strategy, Pursuits & Shaping Lockdown",,"Owner: Dave / Jake / Brad (facilitated by Tom)

Mission/assault-team leads debate and lock the strategy, actual pursuits, shaping approach, must-wins, and essential capabilities across 12-18mo / 24mo / 3-5yr horizons. Output becomes 'the plan' at the reconvene. Each lead must be able to state exactly what they are accountable to win, shape, and build, with senior capture managers named for must-wins.",mtg629 strategy shaping owner-dave-jake-brad-facilitated-by-tom,Dave / Jake / Brad (facilitated by Tom),,
E3,Epic,"Must-Win Captures (NUS/AFRL, CAMEL)","Must-Win Captures (NUS/AFRL, CAMEL)",,"Owner: Jake / Brad

Stand up senior capture leadership for the named company must-wins. NUS/AFRL (~$500M, must show counter + offensive) needs a senior capture manager - 'sponsoring a golf game is not going to win NUS.' CAMEL 1/2/3 re-entry as weapon-systems integrator. These feed the strategy lockdown and the Core resource ask.",mtg629 captures must-win owner-jake-brad,Jake / Brad,,
E4,Epic,Mission Strategy & Pipeline Deck -> Market Strategy Brief,Mission Strategy & Pipeline Deck -> Market Strategy Brief,,"Owner: Con / Rob

Adjust the mostly-developed mission strategy & pipeline-review deck to this meeting's discussion and integrate it into the broader market strategy brief, including the lily-pad linkage view (near-term CRADs/creds/prototypes/demos -> 18mo-3yr wins). Called 'definitely doable' in 10 days.",mtg629 deck brief owner-con-rob,Con / Rob,,
E5,Epic,MVP & Funding Readiness,MVP & Funding Readiness,,"Owner: Shane / Eric / Con

Identify viable MVPs, their cost and staffing so they can be deployed in operations and 'doing meaningful things' by EOY-2026 - the gating condition for the raise. Produce the bootstrap-reality funding view with explicit cut-line choices against Tom's $85M caution; confirm the raise checkpoints (socialize spring 2027, ~$450-500M ~mid-2027).",mtg629 mvp funding owner-shane-eric-con,Shane / Eric / Con,,
E6,Epic,"Sprint Cadence, Logistics & 10-Day Schedule","Sprint Cadence, Logistics & 10-Day Schedule",,"Owner: Shane

The mechanics that make the 10-day sprint run: Shane's transition to product full-time, the daily stand-up Shane committed to (Shane/Rob/Dave, no weekend), the seat-data working meeting, the reconvene scheduling around Dave's 7/9 travel, the in-person site visit, and the day-by-day schedule with go/no-go gates.",mtg629 cadence logistics owner-shane,Shane,,
E7,Epic,Hire AI Lead & Power BI Developer,Hire AI Lead & Power BI Developer,,"Owner: Shane

Fill the AI Lead & Power BI Developer role. Three interview rounds are complete and the field is down to 2 finalists. Next step is a live working-interview session where each finalist builds a quick AI product in front of the panel, evaluated against a common rubric on a prepared fictitious dataset, leading to a final decision and offer.",mtg629 hiring ai-lead power-bi owner-shane,Shane,,
T-C1,Task,Lock the Core layer definition (service/integration/data fabric + 3 orchestration layers),,E1,"Owner: Sully

Draft and confirm the Core layer definition: service layer + integration layer + data fabric providing data/decision, mission-autonomy, and targeted-effects orchestration, with mission 'engines'/suites running on top per AMSGRA/AGRA. Confirm Tom-validated framing that the orchestration layers bundle into applications that run ON Core.",mtg629 core architecture owner-sully gating day-2,Sully,To Do,2026-07-01
T-C2,Task,Decide Core baseline architecture (cloud vs cloud+on-prem vs 3rd minimum baseline),,E1,"Owner: Sully

Force the baseline decision. Sully's working assumption: one common Core baseline is probably NOT achievable - plan for a cloud baseline AND a hardware/on-prem baseline, possibly a third minimum-role baseline (Northrop 3-IFC-vs-1 analogy). Document the quality/CM-control burden of multiple baselines. Materially drives cost and staffing - not a quick fork to kill.",mtg629 core architecture decision owner-sully gating day-4,Sully,To Do,2026-07-03
T-C3,Task,"Roll up developer seat counts (Julian/SAG, SET-FL, SET-MD, Pasadena, Flex) + plus-up",,E1,"Owner: Shane

Aggregate developer headcount across Sully's dev (~10), Julian's SAG group, the SET groups (Florida, Maryland), Pasadena, and Flex. Julian has the fix on total SAG developers and should cover down on Sharon's number (exclude Sharon directly - 'negative Nancy'). Apply an agreed plus-up (~20% floated, not committed). FALLBACK: if Julian's number is not back by Day 3, proceed on a DOCUMENTED seat assumption and escalate to Con - do not wait.",mtg629 core seats dependency owner-shane gating day-2,Shane,To Do,2026-07-02
T-C4,Task,Run AWS/Azure license/price models across stair-step seat tiers,,E1,"Owner: Rob

Rob already has AWS + Azure accounts set up. Once seat counts land, run the price models across the stair-step tiers (reconcile 25/50/75/100 and 25/50/100/200; enterprise minimum ~100; Astrion's internal enterprise needs 151 seats). Include premium/subscription cost models and mark the seat threshold where the volume discount kicks in.",mtg629 core licensing cost-model owner-rob gating day-4,Rob,To Do,2026-07-03
T-C5,Task,Build >=2 Core COAs with phased 3/6/9-month seat projection,,E1,"Owner: Shane + Sully

Produce at least two Courses of Action (3 judged 'a little too much to do in this time frame'). For each COA define baseline architecture, staffing, delivery construct, and the phased need projection: what is needed NOW vs perceived at 3/6/9 months, shown as a stair-step gradual increase (SET-FL, SET-MD, Sharon/Pasadena folding in over time). Mark one COA recommended.",mtg629 core coa cost-model owner-shane-sully gating day-4,Shane + Sully,To Do,2026-07-03
T-C6,Task,Lock staffing model: Core infra team + dedicated SEG mission-app dev teams,,E1,"Owner: Shane + Sully

Core infra team (~3, infrastructure-skilled only) CANNOT build mission applications. Cost separate dedicated mission-app dev teams stood up from SEG - dedicated, NOT matrixed - embedded with Core on the front end to avoid silos/rework/helm-chart misalignment/technical debt. The sprint can only PLAN and COST these teams, not stand them up in 10 days.",mtg629 core staffing cost-model owner-shane-sully gating day-4,Shane + Sully,To Do,2026-07-03
T-C7,Task,Cost-benchmark / value-for-money narrative ($26M-100 vs $49K-3; $54M -> +4),,E1,"Owner: Shane

Build the value-for-money argument that anchors the ask: Northrop's ~$26M with a 100-man IPT vs Core stood up so far for ~$40-49K by a 3-man team; carry Tom's framing that ~$54M of investment (2x ~$27M) would justify giving Sully 4 people. This benchmark vs ask is the whole ask narrative.",mtg629 core cost-model narrative owner-shane gating day-7,Shane,To Do,2026-07-06
T-C8,Task,"Characterize software-to-hardware delivery construct (LOC, architecture, chips, power)",,E1,"Owner: Sully

Tom explicitly asked: how many lines of code, what's the architecture, how many chips, what's the power supply. Even software ultimately runs on hardware. Define the software-only-suite (runs on customer hardware) vs whole-house (hardware+software package) delivery construct to be priced; rough-order-of-magnitude numbers are enough. DIU/DARPA interest hinges on the deliverable hardware.",mtg629 core hardware owner-sully day-8,Sully,To Do,2026-07-07
T-C9,Task,Edge-AI hardware research: order NVIDIA chips; Camgen/Edge Runner; Palantir FedRAMP,,E1,"Owner: Shane + Sully

Order a couple of NVIDIA chips to experiment so hardware arrives within the window (Tom: 'we ought to be buying a couple of them and playing with them'). Distinguish edge/embedded AI for battlefield processing from commercial LLMs. Note Camgen / Edge Runner partners and Palantir's FedRAMP lock on some DoD paths as a routing constraint (research, not blocking).",mtg629 core edge-ai research owner-shane-sully day-3,Shane + Sully,To Do,2026-07-02
T-C10,Task,Stand up Core production instance in cloud + begin dev-seat provisioning (post-reconvene),,E1,"Owner: Sully

Execution step after the plan is locked: shift from hardware to standing up a production instance of Core in the cloud to host the dev environment for Astrion developers; begin provisioning the agreed dev seats/licenses against the approved COA.",mtg629 core execution owner-sully day-10,Sully,To Do,2026-07-09
T-S1,Task,Lock Layered Defense must-wins / shaping / essentials,,E2,"Owner: Dave

Counter-UAS beyond the IFRCO recompete; global range expansion (Shoals, Eglin, Dugway, Penguin); range data ownership as an essential capability; rapid-integration / mission-assurance positioning. State must-wins, shaping, and essentials across the three horizons.",mtg629 strategy layered-defense owner-dave day-7,Dave,To Do,2026-07-06
T-S2,Task,Lock Autonomous Warfare strategy (Navy maritime; software-layer prime thesis),,E2,"Owner: Jake

Protect and expand the Navy autonomous maritime franchise; pursue prime-contract positioning for an autonomous warfare package by owning the software/orchestration layer (not building the drone/ship/sub). Sequence: expand USV position -> integrate USV+UUV -> seabed/underwater warfare. Tie to the common Core foundation.",mtg629 strategy autonomous-warfare owner-jake day-7,Jake,To Do,2026-07-06
T-S3,Task,"Lock Integrated Fires strategy (Army fire missions, joint fires, CAMEL/MTC)",,E2,"Owner: Brad

Position around Army fire mission applications within the joint fires program; weapon-target pairing, targeted-effects orchestration; Artillery Executive Suite -> NGC2 application opportunity; assess role on CAMEL and MTC and whether the same software/application positioning applies.",mtg629 strategy integrated-fires owner-brad day-7,Brad,To Do,2026-07-06
T-S4,Task,Define capture managers + BD plans + resource asks -> hand to Shane & Sully,,E2,"Owner: Dave / Jake / Brad

Mission leads define their capture managers, business-development plans, and resource requirements and TELL Shane and Sully what they need (rather than shopping for support). HARD DEPENDENCY: must land before the Core cost model is frozen on Day 7, because the cost model rolls up their needs. Tom: 'You should be telling Shane and Sully what you need.'",mtg629 strategy dependency captures owner-dave-jake-brad gating day-6,Dave / Jake / Brad,To Do,2026-07-05
